id,name,depth,time_slice,importance
2,effici urban water price,0,2006-2008,5.871828997044318
11,oilrig activ,0,2006-2008,2.3181560453787298
23,stern review,0,2006-2008,1.4973375936030386
32,econom of climat chang,0,2006-2008,1.2354205831941383
34,electr suppli industri,0,2006-2008,1.187234973444788
45,pollut percept,0,2006-2008,0.9817677499612751
48,sandstorm,0,2006-2008,0.9254732839043824
53,electr forward premium,0,2006-2008,0.8612652128373453
63,energi prospect,0,2006-2008,0.7285806595273586
67,custom-generat,0,2006-2008,0.711902526080294
74,clean-develop invest,0,2006-2008,0.6875686143976276
76,energi balanc climat model,0,2006-2008,0.6811562102313498
77,sdrc,0,2006-2008,0.6781288492969882
82,comprehens nnp,0,2006-2008,0.635627255428834
83,abat capit,0,2006-2008,0.627660781528373
86,balanc growth equival,0,2006-2008,0.614376189620433
96,environment levi,0,2006-2008,0.5722956286875268
98,variabl price agreement,0,2006-2008,0.5720645298859506
100,refund emiss payment,0,2006-2008,0.564437997764872
111,energi-and trade-intens sector,0,2006-2008,0.544185096376982
123,intragener distribut,0,2006-2008,0.5159759038304834
124,slack-base effici,0,2006-2008,0.5111965243914034
128,energi-save technolog progress,0,2006-2008,0.5066643170743605
130,geoengin,0,2006-2008,0.5027491585337462
131,fossil-fuel electr generat compani,0,2006-2008,0.5008446842193766
132,gamma discount,0,2006-2008,0.5002395818748882
152,advanc-coal technolog,0,2006-2008,0.47680934716194495
154,energi effici perform,0,2006-2008,0.4742336301852132
155,disaggreg energi consumpt,0,2006-2008,0.47285502198538837
157,must-offer provis,0,2006-2008,0.4676096358479793
160,coincid peak price,0,2006-2008,0.4657239582226713
164,citizen suit,0,2006-2008,0.4632493380167734
180,pollut cost,0,2006-2008,0.4353254651894982
182,awf,0,2006-2008,0.4337221272337926
192,busbar cost,0,2006-2008,0.43143937919572
194,general discount rate,0,2006-2008,0.43111999939949813
203,microgener,0,2006-2008,0.4244342579297006
213,faustian bargain,0,2006-2008,0.419724871131893
216,negishi weight,0,2006-2008,0.41735525450798905
226,bge,0,2006-2008,0.40929234190685654
228,oil sand,0,2006-2008,0.4090157655961262
1,battes-coelli estim,1,2009-2011,6.92281507530701
6,total-factor co 2 emiss perform,1,2009-2011,2.7536046397271434
9,traveston,1,2009-2011,2.397074313601035
10,allow reserv,1,2009-2011,2.3540563874961267
13,green paradox,1,2009-2011,1.994193077481183
24,climat econom,1,2009-2011,1.4014472278144325
25,fossil-fuel electr generat compani,1,2009-2011,1.3871397866619177
27,subterfug,1,2009-2011,1.3313109489827444
30,mcpi,1,2009-2011,1.258870878545843
37,excess capit capac,1,2009-2011,1.1735001385238286
44,nonlinear pollut accumul,1,2009-2011,0.9817677499612751
46,energi congest,1,2009-2011,0.9748398837231416
50,border adjust,1,2009-2011,0.8961492156663353
52,energi and co 2 effici,1,2009-2011,0.8619121004501236
58,peak fossil fuel,1,2009-2011,0.8294929581006028
61,power generat compani,1,2009-2011,0.7623655850178735
62,polysem,1,2009-2011,0.7285806595273586
65,china's commerci sector,1,2009-2011,0.7122009830113243
69,pump-storag,1,2009-2011,0.7102731094498154
70,oil exploit,1,2009-2011,0.7004162803353039
80,tfcep,1,2009-2011,0.6464340753375928
81,gnni,1,2009-2011,0.635627255428834
85,balanc growth equival,1,2009-2011,0.614376189620433
91,share hous,1,2009-2011,0.5962709499739401
94,coal-electr price linkag,1,2009-2011,0.5835926406696215
99,inconsist constraint,1,2009-2011,0.5702627395104771
102,electr ladder,1,2009-2011,0.5623324478859045
104,scscs,1,2009-2011,0.5598689903245748
105,balanc cost,1,2009-2011,0.5526030972830561
109,non-radial direct distanc function measur,1,2009-2011,0.544584799401376
110,carbon treati,1,2009-2011,0.544185096376982
115,durabl hous,1,2009-2011,0.5374319561347464
119,swedish servic industri,1,2009-2011,0.5284342044426352
121,erdu,1,2009-2011,0.5227600689501791
136,environment effici chang,1,2009-2011,0.4990251785725605
137,environment total factor product,1,2009-2011,0.4990251785725605
138,mnmcpi,1,2009-2011,0.4990251785725605
142,non-technic barrier,1,2009-2011,0.48896427003825
175,eererb,1,2009-2011,0.44041917755272153
184,un climat regim,1,2009-2011,0.4333728895921546
189,delucchi,1,2009-2011,0.4321079595686861
190,gilbraith,1,2009-2011,0.4321079595686861
199,residu coal,1,2009-2011,0.4281961860571843
201,manageri dispos,1,2009-2011,0.426666213149596
