name,depth,importance,id,new_depth,depth_name
asian-pacif real exchang rate,0,2.954291875229461,1,0,2006-2008
recurs trend adjust,0,1.9330272047301202,4,0,2006-2008
theori of optimum currenc area,0,1.8483555711837854,5,0,2006-2008
airfram fatigu,0,1.534118531949245,9,0,2006-2008
all-inclus packag,0,1.276273414690323,15,0,2006-2008
ppp,0,1.0440670519121844,23,0,2006-2008
unit-root test,0,0.9879997861676968,28,0,2006-2008
financi depth,0,0.9028678074640459,30,0,2006-2008
zero-inflat count datum,0,0.8254459861992034,33,0,2006-2008
threshold level of inflat,0,0.693208055067967,43,0,2006-2008
error-in-reject probabl,0,0.6880550995844488,44,0,2006-2008
harrod-balassa-samuelson model,0,0.6466078782251,51,0,2006-2008
local persist,0,0.6076129480698892,58,0,2006-2008
tourism multipli,0,0.6017952579510294,60,0,2006-2008
inform-theoret statist,0,0.5993759977643766,61,0,2006-2008
varianc shift,0,0.5480412881984548,64,0,2006-2008
intervent index,0,0.5291891528350046,70,0,2006-2008
cadf,0,0.5127384775778179,72,0,2006-2008
pseudo-random number,0,0.4649271270403467,79,0,2006-2008
stochast converg,0,0.427761552679621,88,0,2006-2008
hac estim,0,0.4188077999931227,91,0,2006-2008
panel datum analysi with fix effect,0,0.412886406242622,93,0,2006-2008
baig,0,0.4037959181945918,96,0,2006-2008
stationari test,0,0.3900039754734769,99,0,2006-2008
partial linear,0,0.3607316066965734,103,0,2006-2008
holi week,0,0.3543221954747459,106,0,2006-2008
long-run solvenc constraint model,0,0.3405781051156749,110,0,2006-2008
histor and cultur area,0,0.33421880849745544,116,0,2006-2008
danish region,0,0.33279001345098513,117,0,2006-2008
season co-integr,0,0.32169932774017296,121,0,2006-2008
econom impact of tourism,0,0.31925243326502806,122,0,2006-2008
remi,0,0.31822752223888817,123,0,2006-2008
mountain tourism,0,0.31236212874533464,128,0,2006-2008
gls-detrend,0,0.3070552816280225,132,0,2006-2008
insur market activ,0,0.30502746121275565,135,0,2006-2008
defens expenditur,0,0.30248861152239087,140,0,2006-2008
causal in inform,0,0.2996879988821883,142,0,2006-2008
intern meet industri,0,0.2992054095120077,146,0,2006-2008
function form misspecif,0,0.29573760894793966,148,0,2006-2008
feldstein-horioka hypothesi,0,0.29506608490943104,149,0,2006-2008
goodhart,0,0.2934063465457186,154,0,2006-2008
capac util model(cum),0,0.29068610655030785,156,0,2006-2008
panel datum binari respons model,0,0.288072184972026,161,0,2006-2008
equilibrium exchang rate(eer),0,0.2864894198842971,163,0,2006-2008
asian real interest rate,0,0.2831573150578829,169,0,2006-2008
fast doubl bootstrap test,0,0.28300941896063825,170,0,2006-2008
fraction unit root,0,0.28129579496738816,171,0,2006-2008
dynam tobit,0,0.27999120761788576,174,0,2006-2008
star and setar model,0,0.2764978561115428,178,0,2006-2008
tourism area life cycl,0,0.2739900647213464,182,0,2006-2008
econom impact model,0,0.2731851307158146,185,0,2006-2008
cross-section depend,0,0.2676519057207864,190,0,2006-2008
coordin channel,0,0.2666642646014764,193,0,2006-2008
beaver lake,0,0.2654379418670811,194,0,2006-2008
profil likelihood estim,0,0.2617862356805489,195,0,2006-2008
macroeconom logist indic,0,0.2600875690186965,199,0,2006-2008
steep origin kernel,0,0.25811391549808144,200,0,2006-2008
co-integr rank,0,0.25537557402521743,204,0,2006-2008
mallow criterion,0,0.25366920223489614,207,0,2006-2008
financi deepen,0,0.25213138969253696,210,0,2006-2008
panel surkss test,0,0.25006997396597647,213,0,2006-2008
nonlinear stationar,0,0.24235759235901538,222,0,2006-2008
interest rate reform,1,1.199763059556278,16,1,2009-2011
tourist motiv,1,1.0785469236149763,22,1,2009-2011
option tour,1,0.9980222491821021,26,1,2009-2011
mckinnon,1,0.9008301352879019,31,1,2009-2011
tourism suppli chain,1,0.7651572248014159,36,1,2009-2011
fourier function,1,0.7367953487240918,38,1,2009-2011
polit sovereignti,1,0.6415102836018833,52,1,2009-2011
panel surkss test,1,0.6049599014535909,59,1,2009-2011
hong kong disneyland,1,0.5671750894595748,62,1,2009-2011
rbh,1,0.5578771371733526,63,1,2009-2011
mtps,1,0.5453340994927844,66,1,2009-2011
bzinb,1,0.5308998270442845,67,1,2009-2011
intervent index,1,0.5291891528350046,69,1,2009-2011
umbria jazz music festiv,1,0.5119160307436563,73,1,2009-2011
pseudo-random number,1,0.4649271270403467,78,1,2009-2011
packag holiday,1,0.44624936123349424,83,1,2009-2011
nlip,1,0.4222465000288176,90,1,2009-2011
rur,1,0.4179423269853667,92,1,2009-2011
baig,1,0.4037959181945918,95,1,2009-2011
credit card in circul,1,0.3997559365468089,98,1,2009-2011
stay-over tourism,1,0.3573234219402418,105,1,2009-2011
hybrid estim,1,0.35340307379083535,107,1,2009-2011
t-ratio test,1,0.3392723459827493,113,1,2009-2011
quadrat exponenti distribut,1,0.32200938226752635,119,1,2009-2011
southeast asian currenc,1,0.3096069199334346,130,1,2009-2011
mundel,1,0.306015152294,133,1,2009-2011
feldstein-horioka paradox,1,0.29929266287270534,144,1,2009-2011
binari panel datum,1,0.2969232019773617,147,1,2009-2011
italian tourism demand,1,0.2938117636099885,152,1,2009-2011
money overhang,1,0.2934063465457186,153,1,2009-2011
region tourism econom account,1,0.28050507141750713,172,1,2009-2011
kourogeni,1,0.2740206440992274,179,1,2009-2011
pitti,1,0.2740206440992274,180,1,2009-2011
coastal leisur ship,1,0.2737602535757849,184,1,2009-2011
non-linear threshold unit-root test,1,0.2666642646014764,192,1,2009-2011
macroeconom logist indic,1,0.2600875690186965,198,1,2009-2011
automat smooth,1,0.255792664863297,202,1,2009-2011
system cointegr test,1,0.25537557402521743,203,1,2009-2011
fourier stationari test,1,0.2545570676104956,205,1,2009-2011
recurs detrend,1,0.25296459046169567,208,1,2009-2011
optim replac strategi,1,0.246812316875891,218,1,2009-2011
tv drama,1,0.2461081836201344,220,1,2009-2011
option tour,2,2.776603924676587,2,2,2012-2014
academ tourism,2,1.8014904631488422,6,2,2012-2014
driver currenc,2,1.664933327123268,8,2,2012-2014
niv,2,1.5310582220839386,10,2,2012-2014
