name,depth,importance,id,new_depth,depth_name
stern review,0,20.96617893880169,0,0,2006-2008
effici urban water price,0,20.765121339904262,1,0,2006-2008
european union emiss trade scheme(eu-et),0,8.178134664835236,6,0,2006-2008
us greenhous gas emiss,0,6.410186822689237,10,0,2006-2008
electr consumpt,0,5.031340177623306,13,0,2006-2008
instrument choic,0,4.917569586887747,14,0,2006-2008
econom of climat chang,0,3.8228746145013686,23,0,2006-2008
energi consumpt,0,3.5114249813755496,26,0,2006-2008
carbon taxat,0,3.04220185134744,32,0,2006-2008
local solut,0,3.0192454520515053,33,0,2006-2008
clean develop mechan(cdm),0,2.954829670067542,34,0,2006-2008
environment econom,0,2.870043028213757,39,0,2006-2008
global warm,0,2.669107876951642,42,0,2006-2008
oilrig activ,0,2.534295077790297,44,0,2006-2008
(non)-renew resourc,0,1.786539790412836,64,0,2006-2008
renew electr support,0,1.769881885336134,65,0,2006-2008
social cost of carbon(scc),0,1.6213671007146122,71,0,2006-2008
polici monitor,0,1.5084406415991551,73,0,2006-2008
eu emiss trade system(eu et),0,1.4832802061922226,74,0,2006-2008
catastroph climat chang,0,1.157518507710318,88,0,2006-2008
solar water heater,0,1.047208885719517,107,0,2006-2008
ecolog discount,0,1.0055751564819713,117,0,2006-2008
ccs,0,0.9923192832232566,120,0,2006-2008
pollut percept,0,0.9817677499612751,123,0,2006-2008
energi-intens,0,0.9746348338937378,128,0,2006-2008
mandatori renew energi target,0,0.968258327878548,129,0,2006-2008
overcompli,0,0.9678908310528204,131,0,2006-2008
environment polici,0,0.9611829054463877,132,0,2006-2008
cdm,0,0.9483027024605578,135,0,2006-2008
sandstorm,0,0.9254732839043824,141,0,2006-2008
pollut,0,0.8824347291208017,149,0,2006-2008
environment levi,0,0.8713281296451432,155,0,2006-2008
fuel levi,0,0.8708025603334628,158,0,2006-2008
greenhous gas emiss reduct,0,0.8691875668605528,160,0,2006-2008
us greenhous gas emiss,1,13.460190827326535,3,1,2009-2011
energi effici build(eeb),1,8.447067651254427,5,1,2009-2011
electr consumpt,1,6.4189327354168055,9,1,2009-2011
carbon taxat,1,6.016241488913747,11,1,2009-2011
renew energi consumpt,1,5.871265377983688,12,1,2009-2011
climat econom,1,4.674101169467437,15,1,2009-2011
energi consumpt,1,4.312866754950814,17,1,2009-2011
emiss trade,1,4.245677561346291,18,1,2009-2011
battes-coelli estim,1,4.2147562028139705,19,1,2009-2011
green paradox,1,4.1417734791519365,20,1,2009-2011
energi-effici polici,1,4.118642147311525,21,1,2009-2011
green job,1,3.689329231100269,24,1,2009-2011
stern review,1,3.4193609581866977,28,1,2009-2011
increas block rate,1,3.1777357793275858,29,1,2009-2011
carbon tariff,1,2.9147774703331093,37,1,2009-2011
renew electr support,1,2.738140213214682,41,1,2009-2011
social cost of carbon(scc),1,2.405642401492922,46,1,2009-2011
traveston,1,2.397074313601035,47,1,2009-2011
nuclear energi consumpt,1,2.372235370427684,48,1,2009-2011
allow reserv,1,2.3651954198200196,49,1,2009-2011
durabl hous,1,2.075971472014664,55,1,2009-2011
offic build,1,2.053985196572648,56,1,2009-2011
hotel rule,1,1.948155110682889,59,1,2009-2011
climat invest,1,1.8109548236379287,63,1,2009-2011
carbon leakag,1,1.6330447949199727,70,1,2009-2011
econom of climat chang,1,1.6101139270134661,72,1,2009-2011
hydroelectr power,1,1.4553531230336925,75,1,2009-2011
fossil-fuel electr generat compani,1,1.3871397866619177,77,1,2009-2011
eu et,1,1.1732623863900724,87,1,2009-2011
greenhous gas(ghg),1,1.1508065628647888,89,1,2009-2011
carbon polici,1,1.1316886350825703,91,1,2009-2011
block rate,1,1.1105604635894633,92,1,2009-2011
windfal profit,1,1.084837396435237,96,1,2009-2011
co 2 emiss perform,1,1.065448077568024,101,1,2009-2011
water demand,1,1.0599960430100375,102,1,2009-2011
