name,depth,importance,id,new_depth,depth_name
exchang asymmetri,0,17.647693590323,4,0,2006-2008
polit lobbi,0,17.4434742383868,5,0,2006-2008
diminish impati,0,16.24408500844477,6,0,2006-2008
privat evalu,0,16.041128318317767,7,0,2006-2008
strotz,0,14.171830502884902,8,0,2006-2008
anticip regret,0,12.926625001463103,10,0,2006-2008
certainti effect,0,11.885063450663715,12,0,2006-2008
allai,0,9.435007077309205,16,0,2006-2008
properti right approach,0,7.929435976717395,19,0,2006-2008
endow effect,0,7.536211617710187,21,0,2006-2008
repeat moral hazard,0,4.760407440653085,29,0,2006-2008
cost-share contract,0,4.75466989261324,30,0,2006-2008
condit cooper,0,3.70760273576717,39,0,2006-2008
mutual absolut continu,0,3.1301644088099185,48,0,2006-2008
choic shift in group,0,3.004329455521602,55,0,2006-2008
machina paradox,0,2.752085336737245,65,0,2006-2008
colonel blotto game,0,2.6563182465874635,68,0,2006-2008
punish,0,2.636239778679662,69,0,2006-2008
prudent order,0,2.5205052197029234,72,0,2006-2008
counter-punish,0,2.3776568680990633,76,0,2006-2008
calculus of consent,0,2.2508062719007604,78,0,2006-2008
prospect-theori,0,2.2342778600354487,81,0,2006-2008
one-arm bandit,0,2.166362904179375,83,0,2006-2008
help behavior,0,1.92079264959639,95,0,2006-2008
common-valu auction,0,1.8967048290773565,97,0,2006-2008
pareto-rank equilibrium,0,1.8591483697290347,100,0,2006-2008
chosen effort,0,1.7931176881899606,103,0,2006-2008
prefer for give,0,1.7832304222681292,104,0,2006-2008
guess game,0,1.6296785824297066,114,0,2006-2008
pari-mutuel bet,0,1.6162999266691669,116,0,2006-2008
dictat-game,0,1.5465391797588102,122,0,2006-2008
multipl-prior,0,1.4581993122143,139,0,2006-2008
inform-gather,0,1.4319948215878322,143,0,2006-2008
distribut experi,0,1.3124926337238023,175,0,2006-2008
public choic theori,0,1.2933691270053589,180,0,2006-2008
book-make argument,0,1.2743934108844772,184,0,2006-2008
linear public good,0,1.2511351935223758,193,0,2006-2008
machina paradox,1,35.08322465976196,0,1,2009-2011
centiped,1,27.702520619888016,1,1,2009-2011
ambigu model,1,22.301917426107728,2,1,2009-2011
