id,name,depth,time_slice,importance
0,polit-connect firm,0,2006-2008,485.4212478940593
7,ceo pay,0,2006-2008,12.272452608596847
11,liquid coinsur,0,2006-2008,8.664280823298107
55,credit contagion,0,2006-2008,3.328489208665359
96,total hazard construct,0,2006-2008,2.2630986749052795
97,default intens,0,2006-2008,2.2578011323109064
123,correl default,0,2006-2008,1.7911356101341487
139,busi partner network,0,2006-2008,1.6893553488729556
161,connect transact,0,2006-2008,1.5514368735125956
2,polit strategi,1,2009-2011,17.87644962702951
9,credit contagion,1,2009-2011,11.32987997488865
25,freemasonri,1,2009-2011,5.578813150969987
28,polit-connect firm,1,2009-2011,5.115053258725947
37,auditor choic,1,2009-2011,4.531236364187184
40,govern sharehold,1,2009-2011,4.394753398498891
41,chines peopl's congress,1,2009-2011,4.273133477338715
75,investor protect,1,2009-2011,2.7942148406181593
79,interbank linkag,1,2009-2011,2.5755595293225513
81,ben bernank,1,2009-2011,2.535503596850798
82,financi market design and regul,1,2009-2011,2.528857609642989
85,polit tie,1,2009-2011,2.419856667829873
95,director,1,2009-2011,2.2688605552461083
98,bank director,1,2009-2011,2.219358483243713
100,govern ownership,1,2009-2011,2.2078165318781298
109,bank effici,1,2009-2011,1.981198412794795
110,corpor board,1,2009-2011,1.9718790641201216
111,bank ownership structur,1,2009-2011,1.949077805550207
112,sudden death,1,2009-2011,1.9469335920579054
118,freemason,1,2009-2011,1.8596043836566627
121,govern directorship,1,2009-2011,1.8312417173276816
129,relat-parti transact(rpts),1,2009-2011,1.7555024669755332
131,busi-state relationship,1,2009-2011,1.7293273548839156
136,foreign bank,1,2009-2011,1.7037926523684945
138,strateg respons,1,2009-2011,1.6901171324341822
147,corpor litig,1,2009-2011,1.653313107332495
150,rate accuraci,1,2009-2011,1.640038010703352
1,revolv door,2,2012-2014,22.776222634649656
5,tarp,2,2012-2014,12.741138523206036
6,polit connected,2,2012-2014,12.370389438894275
8,pcon,2,2012-2014,12.210290000892282
13,lobbyist,2,2012-2014,8.491419634039115
14,bank line of credit,2,2012-2014,7.7565022175730185
17,ceo,2,2012-2014,6.725845731336145
18,polit and busi connect,2,2012-2014,6.638251225312847
26,capit shortfal,2,2012-2014,5.5643761067259945
30,cheney,2,2012-2014,5.022790332635113
31,two-tier board,2,2012-2014,4.999807130930542
36,organiz age,2,2012-2014,4.609165829164904
44,organ technolog innov,2,2012-2014,3.8133659512959412
47,bank connect,2,2012-2014,3.606238693944953
48,giuliani,2,2012-2014,3.5953796577483064
49,hold bank ownership,2,2012-2014,3.5801804361237823
54,boeski,2,2012-2014,3.371810146190652
56,oversea list,2,2012-2014,3.3121339873267064
58,depositor disciplin,2,2012-2014,3.22242113428651
64,interbank risk,2,2012-2014,3.09812559324351
65,unitari board,2,2012-2014,2.9975712452973067
68,sarkozi,2,2012-2014,2.962799893544388
70,noncontributor,2,2012-2014,2.9099183453426174
72,corpor lobbi,2,2012-2014,2.904446444688998
73,bank,2,2012-2014,2.8962394222071803
76,boardroom,2,2012-2014,2.7805452035600986
84,directorship,2,2012-2014,2.4210233724782144
88,regulatori connect,2,2012-2014,2.413909536477399
89,corpor investor,2,2012-2014,2.4077032441931974
92,connect firm,2,2012-2014,2.3638068318575916
93,board composit,2,2012-2014,2.357070092777404
94,busi group,2,2012-2014,2.318068869948906
102,ceo talent,2,2012-2014,2.1844431353507936
103,polit corrupt,2,2012-2014,2.1353605111670158
116,say on pay,2,2012-2014,1.8700261644108052
120,corpor govern,2,2012-2014,1.835115973289858
126,coco,2,2012-2014,1.7730102791874311
128,nsoe,2,2012-2014,1.7605912492569622
132,execut compens,2,2012-2014,1.7288367006512428
137,wealth expropri,2,2012-2014,1.6986788796350152
140,rudi,2,2012-2014,1.685905073095326
141,segolen,2,2012-2014,1.685905073095326
145,partial tender offer,2,2012-2014,1.6745103683480298
148,corpor debt matur,2,2012-2014,1.6522873380667502
151,stock perform,2,2012-2014,1.6363312284980296
153,mpcp,2,2012-2014,1.6107549829216097
154,book-tax differ,2,2012-2014,1.6031450968953522
155,cost of debt,2,2012-2014,1.589989175153269
158,director interlock,2,2012-2014,1.5705705721471472
163,stock market reaction,2,2012-2014,1.5469904022033716
165,cash dividend,2,2012-2014,1.5279812049010546
12,revers privat,3,2015-2017,8.52611066468998
16,partial state ownership,3,2015-2017,6.85571658161946
20,communist parti control,3,2015-2017,6.322001578581684
23,tarp,3,2015-2017,5.853111426253138
24,stock price crash risk,3,2015-2017,5.739492961132371
27,loan accept ratio,3,2015-2017,5.223541947787158
34,acfic,3,2015-2017,4.922628743012058
38,bureaucrat capit,3,2015-2017,4.457821625922983
45,post-ipo underperform,3,2015-2017,3.7932864144644833
50,big 4 auditor,3,2015-2017,3.5611769714090955
59,prudenti behavior,3,2015-2017,3.192787212403274
62,oad,3,2015-2017,3.120408257814552
63,multipl-curv model,3,2015-2017,3.09812559324351
66,geithner,3,2015-2017,2.989379598486793
78,non-tradabl share reform,3,2015-2017,2.738088275366734
80,lemonad,3,2015-2017,2.535503596850798
83,vc exit,3,2015-2017,2.44719967871052
86,compens reserv,3,2015-2017,2.4141099445063547
87,regulatori benefit of polit connect,3,2015-2017,2.413909536477399
99,barisan,3,2015-2017,2.212750408437615
101,invtrust,3,2015-2017,2.2070030047793363
105,polit connect director,3,2015-2017,2.0662422574298347
108,system risk taxat,3,2015-2017,1.9942832954802114
115,srisk,3,2015-2017,1.8873714540625675
119,bank-center financi system,3,2015-2017,1.8503871927158568
122,offici-and-director,3,2015-2017,1.8062861653090525
124,cg,3,2015-2017,1.7898969329741798
125,coco bond,3,2015-2017,1.7730102791874311
134,custom concentr,3,2015-2017,1.726864814430796
142,feder elect commiss,3,2015-2017,1.6829052913159859
144,partial tender offer,3,2015-2017,1.6745103683480298
146,bndes,3,2015-2017,1.6678279919779126
149,invest risk rate,3,2015-2017,1.640038010703352
156,viewbusi,3,2015-2017,1.5852540239553063
160,rpts,3,2015-2017,1.5514368735125956
162,firm director,3,2015-2017,1.5481884003875264
164,remuner committe,3,2015-2017,1.5386720833256828
3,anti-corrupt investig,4,2018-2020,14.68467865471044
4,corpor govern boundari,4,2018-2020,13.570086042899971
10,nativ place network,4,2018-2020,10.89354047230826
15,polit extract,4,2018-2020,6.928959117700818
19,idpb,4,2018-2020,6.584828637210478
21,spring model,4,2018-2020,5.995142490594613
22,mandatori resign,4,2018-2020,5.9832322528407245
29,politician downfal,4,2018-2020,5.106032375464057
32,excess perk,4,2018-2020,4.962771522553278
33,preferenti bank loan,4,2018-2020,4.9386214779078585
35,intern polit connect,4,2018-2020,4.707123596130927
39,pep,4,2018-2020,4.418236402903453
42,local anti-corrupt,4,2018-2020,4.1381306339612545
43,retir govern offici,4,2018-2020,3.9337785038890942
46,govern connect,4,2018-2020,3.736290875502048
51,manageri profession connect,4,2018-2020,3.42619418080663
52,older polit-connect firm,4,2018-2020,3.42619418080663
53,polit-connect control sharehold,4,2018-2020,3.42619418080663
57,independ director with polit background,4,2018-2020,3.292414318605239
60,oversea m & a,4,2018-2020,3.166007429447794
61,turnov reason,4,2018-2020,3.1380823974206185
67,gpes,4,2018-2020,2.982731783686924
69,polit connect execut,4,2018-2020,2.9475125315070216
71,bank dividend polici,4,2018-2020,2.9098951478941304
74,vote in us congress,4,2018-2020,2.8705951244596095
77,ceo attribut,4,2018-2020,2.769985574168133
90,labor invest effici,4,2018-2020,2.39274066941715
91,govern-link firm,4,2018-2020,2.3675084274047484
104,chines bank network system,4,2018-2020,2.104040777322053
106,elect risk,4,2018-2020,2.042538838557799
107,polit connect index,4,2018-2020,2.035113011170314
113,officialsoften,4,2018-2020,1.8946912588199958
114,pasti,4,2018-2020,1.8946912588199958
117,shield potenti of polit connect,4,2018-2020,1.863368765000097
127,privat equiti firm perform,4,2018-2020,1.7617304687273645
130,mubarak,4,2018-2020,1.7367495868560505
133,custom concentr,4,2018-2020,1.726864814430796
135,municip corpor bond,4,2018-2020,1.7241822487040954
143,g-sii,4,2018-2020,1.6827213571832158
152,influenti ownership,4,2018-2020,1.634031070846239
157,reput shock,4,2018-2020,1.5713539249884727
159,fds,4,2018-2020,1.5648564941923173
